course_code,course_name,course_link,page_number
ARH418,Independent Study in Art History,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2568,2
AST100,Astronomy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3873,2
AST103,Exercises and Experiments in Astronomy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3876,2
BIO101,Biological Foundations,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2582,2
BIO102,Biological Experiences,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2583,2
BIO103,Introduction to Marine Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2584,2
BIO104,Marine Biology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2585,2
BIO105,Biological Principles I: Cellular Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2586,2
BIO106,Laboratory Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2587,2
BIO107,"Biological Principles II: Evolution, Biodiversity, and Ecology",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2588,2
BIO109,Biological Principles III: Functional Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2589,2
BIO111,Human Anatomy and Physiology I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2590,2
BIO112,Practical Human Anatomy and Physiology I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2591,2
BIO113,Human Anatomy and Physiology II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2592,2
BIO114,Practical Human Anatomy and Physiology II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2593,2
BIO201,Genetics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2594,2
BIO203,Ecology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2595,3
BIO217,Evolution,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2596,3
BIO221,Human Anatomy and Physiology for Biology Majors I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2597,3
BIO223,Human Anatomy and Physiology for Biology Majors II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2598,3
BIO231,Botany,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2599,3
BIO281,Microbiology for Health Sciences,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2600,3
BIO282,Microbiology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2601,3
BIO291,Ornithology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2602,3
BIO305,Developmental Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2603,3
BIO306,Developmental Biology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2604,3
BIO309,Comparative Vertebrate Anatomy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2605,3
BIO311,Microbiology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2606,3
BIO321,Neurobiology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2607,3
BIO322,Neurobiology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2608,3
BIO335,Entomology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2609,3
BIO337,Marine Ecology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2610,3
BIO345,Pathophysiology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2611,3
BIO351,Invertebrate Zoology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2612,3
BIO353,Vertebrate Zoology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2613,3
BIO361,Parasitology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2614,3
BIO362,Parasitology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2615,3
BIO383,Plant Ecology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2616,3
BIO401,Animal Physiology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2617,3
BIO402,Animal Physiology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2618,3
BIO405,Animal Behavior,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2619,3
BIO406,Animal Behavior Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2620,3
BIO407,Environmental Modulation of Developmental Mechanisms,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2621,3
BIO409,Cell and Molecular Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2622,3
BIO410,Cell and Molecular Biology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2623,3
BIO413,Applied Biostatistics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2624,3
BIO415,Microbial Ecology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2625,3
BIO416,Microbial Ecology Lab,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2626,3
BIO417,Issues in Evolution,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2627,3
BIO419,Human Evolution,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2628,3
BIO421,Biology Seminar,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2629,3
BIO423,Topics in Genetics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2630,3
BIO431,Principles of Immunology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2631,3
BIO432,Immunology Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2632,3
BIO441,Problems in Biology (Independent Studies),https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2633,3
BIO442,Honors Thesis in Biology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2634,3
BIO443,Internship,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2635,3
BUS188,Introductory ICE Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2637,3
BUS200,Introduction to Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2639,3
BUS203,Career Planning and Development,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2641,3
BUS210,Managing Sport for Society,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2642,3
BUS241,Applied Business Modeling,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2644,3
BUS260,Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2645,3
BUS280,Legal Environment of Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2647,3
BUS284,Enactus Project,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2648,3
BUS295,Internship in Business Administration,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2650,3
BUS300,Entrepreneurial Thinking,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2654,3
BUS301,Business Analytics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2656,3
BUS311,Sport Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2658,3
BUS312,Sport Law,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2659,3
BUS314,Sport Media & Communication,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2660,3
BUS315,Revenue Generation in Sport,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2661,3
BUS316,Sport Event & Facility Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2662,3
BUS318,Sport Governance & Policy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2663,3
BUS319,Sport Tourism,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2664,3
BUS321,Independent Projects in Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2667,3
BUS322,Sport Consumer Behavior,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2669,3
BUS334,Introduction to Organizational Change,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5669,3
BUS335,International Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2677,3
BUS336,Approved International Experience,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2678,3
BUS337,Approved International Business Experience,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2679,3
BUS338,Strategic Management of Technology & Innovation,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5670,3
BUS339,Business Ethics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5629,3
BUS340,Managing Organizational Behavior,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2681,3
BUS341,New Product Development,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2682,3
BUS342,Leadership,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2683,3
BUS343,Management Skills,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5671,3
BUS344,Business Negotiation,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5672,3
BUS345,Technology Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2684,3
BUS346,Strategic Human Resource Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2685,3
BUS347,Triple-Bottom-Line Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2686,3
BUS348,Sustainable Business Practicum,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2687,3
BUS351,Cross-Cultural Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5673,3
